facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND781001AAA,Guwahati_UzanBazr_DC (Assam),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,33.39772403982934,3.0,4.0,3.0,33.39772403982934,0.006088786873969904,0.0,0.0,0.005215123859191656,0.001010546859169819,0.0012956614866307858
IND507167AAA,Tallada_PtrlBunk_D (Telangana),0.0,0.00038079557013528974,0.0,1,0,4,0,4.0,15.23259259259261,3.0,0.0,0.0,0.0,4.0,3.0,15.23259259259261,0.0027770757589259667,0.0,0.005822416302765648,0.0,0.0004609071140027472,0.0012797100390538165
IND602105AAB,Chennai_Sriperumbudur_Dc (Tamil Nadu),0.0,0.0003149399203865224,0.0,1,0,4,0,4.0,14.837037037037042,3.0,0.0,0.0,0.0,4.0,3.0,14.837037037037042,0.002704961459409019,0.0,0.005822416302765648,0.0,0.0004489384114702888,0.0012767178634207018
IND502295AAA,Sangareddy_Pothredy_D (Telangana),0.0,0.0003149399203865224,0.0,1,0,4,0,4.0,11.340454545454548,1.0,2.0,0.0,0.0,6.0,1.0,11.340454545454548,0.002067494500489586,0.0,0.005822416302765648,0.0,0.00034313897284737703,0.001250268003764974
IND276140AAA,Jiyanpur_Central_DPP_1 (Uttar Pradesh),0.0,0.0004379594628337477,0.0,1,0,4,0,4.0,9.952287581699352,1.0,1.0,0.21666666666666856,1.0,5.0,2.0,10.16895424836602,0.0018539166044851212,0.0,0.005822416302765648,0.0,0.00030769176859095875,0.0012414062027008693
IND791111AAC,Itanagar_WageDPP_D (Arunachal Pradesh),0.0,0.00042469183699948317,0.0,1,0,3,0,5.0,47.37410714285713,3.0,0.0,0.0,0.0,5.0,3.0,47.37410714285713,0.008636841282761444,0.0,0.004366812227074236,0.0,0.0014334436419109172,0.0012317233558925764
IND203001AAA,Bulndshahr_Ymunpurm_D (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,24.078418803418813,3.0,4.0,3.0,24.078418803418813,0.004389770997010602,0.0,0.0,0.005215123859191656,0.0007285637328625202,0.0012251657050539612
IND757025AAA,Betnoti_MhliaDPP_D (Orissa),0.0,0.0003149399203865224,0.0,1,0,4,0,4.0,0.6370370370370395,1.0,2.0,4.928571428571431,1.0,6.0,2.0,5.56560846560847,0.0010146740457714673,0.0,0.005822416302765648,0.0,0.00016840393517780365,0.0012065842443475805
IND686540AAA,Karukachal_MnimlaRd_D (Kerala),0.0,0.0004379594628337477,0.0,1,0,4,0,5.0,3.6233068783068774,2.0,1.0,0.0,0.0,6.0,2.0,3.6233068783068774,0.0006605702632517625,0.0,0.005822416302765648,0.0,0.00010963385952033056,0.0011918917254332122
IND342602AAC,Bilara_Central_DPP_2 (Rajasthan),0.0,0.0010061255085761704,0.0,1,0,4,0,5.0,3.192388324463792,1.0,3.0,0.0,0.0,8.0,1.0,3.192388324463792,0.0005820088848997279,0.0,0.005822416302765648,0.0,9.659514494730136e-05,0.001188632046789955
IND851112AAB,Barauni_Wardno10_D (Bihar),0.0,0.00034556918191758375,0.0,1,0,4,0,4.0,2.184615384615384,1.0,0.0,0.0,0.0,4.0,1.0,2.184615384615384,0.00039828035774700155,0.0,0.005822416302765648,0.0,6.610199583613373e-05,0.0011810087595121631
IND470113AAA,Bina_Srvdycwk_D (Madhya Pradesh),0.0,0.0003149399203865224,0.0,1,0,4,0,5.0,0.0,0.0,2.0,1.965306122448986,1.0,7.0,1.0,1.965306122448986,0.00035829777225026806,0.0,0.005822416302765648,0.0,5.946614586609379e-05,0.001179349797019653
IND201001AAA,Ghaziabad_Patel Nagar (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,2.0,0.0,0.0,4.0,16.658119658119674,3.0,6.0,3.0,16.658119658119674,0.0030369656386889945,0.0,0.0,0.005215123859191656,0.0005040406490008795,0.001169034934088551
IND335524AAA,Rawatsar_ShivmDPP_D (Rajasthan),0.0,0.0002880109453221091,0.0,1,0,4,0,6.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND148101AAA,Barnala_DC (Punjab),0.0,0.00032246358562188377,0.0,1,0,4,0,4.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND335803AAA,Pilibanga_BsstdDPP_D (Rajasthan),0.0,0.00034712239950081877,0.0,1,0,4,0,4.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND335701AAA,Anupgarh_PrmNrDPP_D (Rajasthan),0.0,0.0004379594628337477,0.0,1,0,4,0,6.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND572201AAB,Tiptur_YTRd_D (Karnataka),0.0,0.00036753238514385935,0.0,1,0,4,0,6.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND732139AAA,Samsi_RatuaDPP_D (West Bengal),0.0,0.0006926897420816561,0.0,1,0,4,0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.005822416302765648,0.0,0.0,0.0011644832605531296
IND781335AAA,Nalbari_Bhgtpura_D (Assam),0.0,0.00017023117673190812,0.0,0,1,0,4,2.0,15.914285714285718,1.0,4.0,0.0,0.0,6.0,1.0,15.914285714285718,0.0029013562076921928,0.0,0.0,0.005215123859191656,0.0004815337543756988,0.001163408210432256
