source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND521301AAA,IND521001AAA,13,1.92,1.982800788954635,2.16,48.0,25.0,36.3732,7.082000000000008,0.23076923076923078,1.0
IND521333AAA,IND521225AAB,12,2.5879299156391955,2.914464360557902,2.8714349376114083,175.5,68.0,94.2752,308.58507462686566,0.3333333333333333,1.0
IND522647AAA,IND523201AAA,13,1.58,1.5810256410256411,1.64,79.0,50.0,59.9626,0.0,0.0,1.0
IND523002AAA,IND523226AAA,4,1.6578947368421053,1.907230196703881,1.9437134502923976,33.5,19.0,20.2362,10.747368421052634,0.25,1.0
IND523002AAA,IND523230AAA,14,1.6125670041691484,1.6915919918454343,1.7892629751109395,115.0,69.5,78.6791,24.00919250180246,0.07142857142857142,1.0
IND523002AAA,IND600056AAB,11,1.7312252964426877,1.7327709962246411,1.7881846414455111,438.0,253.0,331.1279,0.0,0.0,1.0
IND523105AAA,IND524201AAA,12,1.3194444444444444,1.3002369898789727,1.367171717171717,53.0,42.5,55.373400000000004,0.0,0.0,1.0
IND523226AAA,IND523316AAB,6,1.9660714285714285,1.968562971636742,1.9830357142857142,114.0,60.0,73.01490000000001,0.0,0.0,1.0
IND523230AAA,IND523105AAA,12,1.4482029598308668,1.486554268491482,1.6055555555555556,64.5,45.0,48.327749999999995,0.0,0.0,1.0
IND523316AAB,IND522647AAA,7,1.6545454545454545,1.708186991205859,1.7617845117845117,91.0,55.0,77.9587,0.0,0.0,1.0
IND524003AAA,IND501359AAE,14,1.6933701657458564,1.6977457002862528,1.777700831024931,611.5,361.5,495.9099,0.0,0.0,1.0
IND524101AAB,IND517501AAB,13,2.1315789473684212,2.175098301673644,2.24,162.0,75.0,99.2628,32.42602339181283,0.15384615384615385,1.0
IND524132AAA,IND524101AAB,11,1.6571428571428573,1.6675695175695175,1.7672672672672673,58.0,36.0,39.9062,0.0,0.0,1.0
IND524201AAA,IND523002AAA,12,1.1666666666666667,1.8862288128683147,1.4074074074074074,77.0,67.5,88.0688,532.4000000000001,0.25,1.0
IND530012AAA,IND501359AAE,10,2.018396101488426,2.064848751853041,2.1326889561303153,877.0,433.0,602.57915,0.0,0.0,1.0
IND530012AAA,IND530043AAA,10,2.9879227053140096,3.2771751843376555,3.1666666666666665,54.5,18.0,21.627499999999998,85.43148148148146,0.5,0.0
IND530012AAA,IND531162AAA,6,1.75,1.8834325396825398,1.984375,28.0,16.0,16.0898,5.99545454545455,0.16666666666666666,0.0
IND530012AAA,IND532001AAB,15,1.7375,1.7917636731811315,1.8718578015766771,142.0,82.0,112.342,0.0,0.0,0.0
IND530012AAA,IND751002AAB,3,1.5799373040752351,1.587065452038596,1.610157926485567,504.0,318.0,445.6972,0.0,0.0,1.0
IND530012AAA,IND764001AAC,3,2.8263473053892216,3.1297405189620755,3.3233532934131738,472.0,167.0,231.3367,237.16249999999997,1.0,0.0
IND530012AAC,IND533106AAA,4,1.8071649712516584,1.8459188805741644,1.8929872758820128,243.0,133.5,181.89405,0.0,0.0,1.0
IND530026AAA,IND531036AAA,4,2.869959677419355,2.9994959677419355,3.200100806451613,90.5,31.0,38.5391,37.08729838709678,0.5,0.0
IND530043AAA,IND531163AAA,9,1.7272727272727273,1.7188447623230232,1.8095238095238095,38.0,22.0,26.2057,0.0,0.0,0.0
IND531036AAA,IND530012AAA,4,2.360597439544808,2.3830014224751066,2.459459459459459,88.5,37.0,40.00965,5.080701754385956,0.25,0.0
IND531163AAA,IND535001AAA,9,2.3,2.242881192881193,2.380952380952381,48.0,21.0,27.0287,2.564285714285724,0.1111111111111111,0.0
IND532001AAB,IND530012AAA,15,2.119047619047619,2.235113119133668,2.395798319327731,178.0,84.0,115.1256,123.89464285714286,0.26666666666666666,0.0
IND532001AAB,IND532127AAA,14,1.8833333333333333,2.073706487221241,2.224042338709677,56.5,30.0,34.5011,66.8118421052632,0.35714285714285715,1.0
IND532001AAB,IND532421AAA,13,3.111111111111111,2.7191453369471947,3.2857142857142856,56.0,19.0,27.2073,22.287037037037052,0.3076923076923077,1.0
IND532127AAA,IND535591AAA,14,1.6705426356589148,1.699244222001697,1.7209302325581395,70.5,43.0,48.6219,7.104385964912282,0.07142857142857142,1.0
IND532201AAA,IND532222AAA,14,1.7349999999999999,1.8624482401656315,1.8206521739130435,42.5,24.5,27.6346,28.378526315789472,0.14285714285714285,1.0
IND532222AAA,IND761200AAA,7,2.129032258064516,2.057346105271604,2.3442622950819674,132.0,61.0,59.702,23.226344086021527,0.2857142857142857,1.0
IND532421AAA,IND532201AAA,13,2.1,2.0686513563835542,2.210526315789474,42.0,20.0,27.7652,16.338888888888896,0.07692307692307693,1.0
IND532440AAA,IND532001AAB,11,1.5405405405405406,1.5646986015407067,1.6578947368421053,57.0,37.0,41.5318,0.0,0.0,1.0
IND533003AAA,IND533401AAA,12,1.9711246200607904,2.015401107251411,2.283326096396005,94.5,48.0,62.93545,31.898802074021077,0.25,1.0
IND533106AAA,IND501359AAE,8,2.198653198653199,2.4331554839925866,2.311343642300018,653.0,298.0,419.76765,464.85172235172206,0.25,1.0
IND533106AAA,IND530012AAA,11,1.7803030303030303,1.7271565647806453,1.8270578923563998,235.0,132.0,181.7005,0.0,0.0,1.0
IND533106AAA,IND533242AAA,3,2.74025974025974,3.071314650262019,3.251708817498291,211.0,76.0,94.0226,103.19472402597404,1.0,1.0
IND533106AAA,IND533262AAA,3,2.1041666666666665,2.1589898756295614,2.4776152482269502,101.0,47.0,53.4446,23.788671875000006,0.3333333333333333,1.0
IND533106AAA,IND533308AAB,7,3.0,3.2601126472094215,3.553571428571429,98.0,29.0,33.9879,114.4125,0.5714285714285714,1.0
IND533106AAA,IND534260AAC,3,3.433333333333333,3.2827651146178325,3.682768361581921,206.0,59.0,72.3474,90.74312500000008,0.6666666666666666,1.0
IND533201AAA,IND533262AAA,6,1.9612010796221322,2.2447593342330183,2.147267206477733,75.5,39.0,46.604150000000004,62.24916267942585,0.16666666666666666,1.0
IND533262AAA,IND533106AAA,5,1.8297872340425532,1.7549491211840889,1.8297872340425532,85.0,47.0,53.5566,0.0,0.0,1.0
IND533308AAB,IND533003AAA,8,1.542973286875726,1.5897854036679901,1.7209639953542393,64.0,41.5,44.303700000000006,0.0,0.0,1.0
IND533401AAA,IND533106AAA,11,2.2739726027397262,2.3513211603421413,2.5081649316186976,160.0,69.0,93.1386,76.54520547945211,0.2727272727272727,1.0
IND534001AAA,IND521333AAA,10,1.8076923076923077,1.9855099715099715,1.831923076923077,46.5,26.0,25.002299999999998,41.03333333333334,0.1,1.0
IND535001AAA,IND530012AAA,6,3.150460898007731,3.129742626051341,3.4468412942989213,177.0,57.5,72.22954999999999,122.29738058551621,0.5,0.0
IND535501AAB,IND532440AAA,11,1.5,1.5545045745891413,1.7059800664451825,63.0,42.0,46.0541,0.0,0.0,1.0
IND535558AAA,IND535501AAB,13,1.565217391304348,1.667462971810798,1.6521739130434783,36.0,23.0,25.8238,9.338888888888896,0.23076923076923078,1.0
IND535591AAA,IND535558AAA,3,2.1333333333333333,2.273611111111111,2.3791666666666664,33.0,16.0,19.0487,4.280000000000008,0.3333333333333333,1.0
IND560002AAA,IND560099AAB,14,2.625,2.6851152301985906,3.1630434782608696,59.0,22.0,18.4329,54.40263157894736,0.35714285714285715,0.0
IND560002AAA,IND562132AAA,15,2.235294117647059,2.287012439201507,2.587251828631139,76.0,34.0,26.5282,175.6176470588235,0.26666666666666666,0.0
IND560043AAC,IND560064AAA,27,1.6111111111111112,1.6971742855686784,1.7777777777777777,29.0,18.0,13.7851,34.72890625000002,0.18518518518518517,0.0
IND560043AAC,IND560099AAB,17,2.0357142857142856,2.0018545795927483,2.4375,66.0,34.0,29.9587,71.64780844155848,0.35294117647058826,0.0
IND560043AAC,IND562132AAA,12,2.001190476190476,2.4212349980642665,2.80625,82.0,40.5,29.6662,240.24344537815128,0.3333333333333333,0.0
IND560048AAB,IND560099AAB,19,1.71875,1.9509751194609368,2.3275862068965516,55.0,33.0,27.1854,231.47460937500003,0.3157894736842105,0.0
IND560048AAB,IND562132AAA,11,1.8936170212765957,2.5090308572385354,2.893041978148361,89.0,46.0,36.6959,309.07220744680853,0.45454545454545453,0.0
IND560058AAB,IND560060AAB,32,1.3529411764705883,1.4023245448651795,1.588235294117647,22.5,17.0,16.8716,13.294753577106512,0.1875,0.0
IND560058AAB,IND560099AAB,15,1.837837837837838,2.0653217946680384,2.3528528528528527,68.0,37.0,38.151900000000005,196.49932432432433,0.26666666666666666,0.0
